808
1644 -1461 198,208,stand,,,
1683 -979 198,205,stand,,,
1634 -16 198,196 197,stand,,,
1371 -185 196,14 193,stand,,,
1639 402 56,29,stand,,,
1665 -966 56,92 101,stand,,,
1643 -1468 56,83 84,stand,,,
1668 -1585 54,80,stand,,,
1667 -1585 196,58 211,stand,,,
2790 -594 0,120,stand,,,
3074 -176 0,122,stand,,,
2951 567 0,139 140,stand,,,
3599 -1023 0,167 284,stand,,,
2103 -635 0,108 112,stand,,,
1566 -205 196,193 3,stand,,,
2524 -261 0,113 114,stand,,,
3869 -2428 21,264 265,stand,,,
1860 -1729 0,66 67 68,stand,,,
1506 -569 0,63 328,stand,,,
1521 -113 0,43 44,stand,,,
305 583 0,51 55,stand,,,
-414 -88 0,46,stand,,,
2333 -729 0,71 72,stand,,,
3071 -584 131,177 179,stand,,,
2527 -193 131,181 182,stand,,,
4460 -2715 0,236 237,stand,,,
3137 -2435 199,241 251 252,stand,,,
3726 -2422 199,253 254,stand,,,
4161 -1927 199,243 246,stand,,,
1643 301 56,4 30,stand,,,
1789 314 56,29 31 33,stand,,,
1790 419 56,30 32,stand,,,
1942 427 54,31 36 111,stand,,,
1800 -24 56,30 34,stand,,,
1923 -35 54,33 109 110,stand,,,
1945 489 0,36 37 133,stand,,,
1945 465 54,35 32,stand,,,
1848 538 0,35 38,stand,,,
1795 489 0,37 39,stand,,,
1534 541 0,38 40 54,stand,,,
1563 431 0,39 41 42,stand,,,
1595 431 215,40 198 199,stand,,,
1572 144 0,40 43,stand,,,
1513 25 5,42 19,stand,,,
1244 -131 0,19 45 50,stand,,,
1243 -301 0,44 106 326,stand,,,
-97 -117 0,21 47,stand,,,
168 -74 0,46 48 55,stand,,,
393 -70 0,47 49,stand,,,
712 -68 0,48 50,stand,,,
987 -68 0,49 56 44,stand,,,
438 492 0,20 52,stand,,,
717 530 0,51 53,stand,,,
1050 533 0,52 54 56,stand,,,
1298 533 0,53 39,stand,,,
125 243 11,47 20,stand,,,
1063 157 0,53 50,stand,,,
1566 -1607 0,58 65 66,stand,,,
1578 -1607 216,57 8,stand,,,
1213 -1810 0,60 334,stand,,,
1390 -1869 0,59 61 66,stand,,,
1552 -2022 0,60 62 67,stand,,,
1667 -2073 0,61,stand,,,
1461 -811 3,18 64 98 329,stand,,,
1464 -1120 3,63 65,stand,,,
1461 -1410 3,64 57 82,stand,,,
1470 -1733 0,57 60 17,stand,,,
1722 -1953 0,17 61 299,stand,,,
2113 -1786 0,17 74 292,stand,,,
2313 -915 0,70 73 188,stand,,,
2186 -924 0,69 71,stand,,,
2231 -726 0,70 22,stand,,,
2412 -761 0,22 73 217,stand,,,
2414 -916 0,72 69 324,stand,,,
2203 -1642 0,68 75,stand,,,
2246 -1466 0,74 76 304 325,stand,,,
2048 -1383 0,75 77,stand,,,
2024 -1383 55,76 78,stand,,,
1950 -1385 54,77 79 89,stand,,,
1941 -1500 54,78 80 81,stand,,,
1928 -1593 54,79 7,stand,,,
1804 -1498 56,79 84 85,stand,,,
1568 -1381 0,65 83,stand,,,
1592 -1381 56,82 6 86,stand,,,
